Date,Amount,Orig_Acct_ID,Orig_Name,Orig_Crncy,Orig_Risk,Bene_Acct_ID,Bene_Name,Bene_Risk,Rcv_Crncy,Risk_Rtg
2020-01-02,3374.8,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,EUR,12.8
2020-01-02,179.3,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,CAD,32.5
2020-01-02,153508.5,123581321,MALLIK J,USD,LOW,37915221,MARK,LOW,EUR,5.5
2020-01-02,68.58,123581321,MALLIK J,USD,LOW,93810450,ALOK,LOW,EUR,92.1
2020-01-02,155125.46,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,EUR,43.8
2020-01-03,2500,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,AUD,94.7
2020-01-03,32404.2,123581321,MALLIK J,USD,LOW,47660212,KEVIN,MED,EUR,41.9
2020-01-03,1072.16,123581321,MALLIK J,USD,LOW,48205754,SURESH,HIGH,EUR,94.6
2020-01-03,3434.7,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,EUR,85.4
2020-01-03,56525,123581321,MALLIK J,USD,LOW,57853014,LAUREN,MED,EUR,23.6
2020-01-03,5654.5,123581321,MALLIK J,USD,LOW,47660212,KEVIN,HIGH,EUR,45
2020-01-03,3171.43,123581321,MALLIK J,USD,LOW,37915221,MARK,MED,CNY,80
2020-01-03,13175.08,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,GBP,77.3
2020-01-03,3536.43,123581321,MALLIK J,USD,LOW,37915221,MARK,MED,JPY,28.3
2020-01-03,1792.32,123581321,MALLIK J,USD,LOW,57853014,LAUREN,HIGH,CAD,58.9
2020-01-03,11618000,123581321,MALLIK J,USD,LOW,57853014,LAUREN,HIGH,EUR,26.4
2020-01-03,7326.01,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,CNY,74.9
2020-01-06,680.87,123581321,MALLIK J,USD,LOW,47660212,KEVIN,MED,CAD,48.4
2020-01-06,15609.67,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,EUR,50.5
2020-01-06,1632.22,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,LOW,EUR,99.5
2020-01-06,3349.03,123581321,MALLIK J,USD,LOW,93810450,ALOK,MED,CHF,29.1
2020-01-06,2676.2,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,GBP,77.9
2020-01-06,10047.1,123581321,MALLIK J,USD,LOW,37915221,MARK,MED,CHF,16.5
2020-01-06,845.64,123581321,MALLIK J,USD,LOW,93810450,ALOK,HIGH,EUR,62
2020-01-06,11272.21,123581321,MALLIK J,USD,LOW,47660212,KEVIN,HIGH,EUR,72.2
2020-01-06,1369.93,123581321,MALLIK J,USD,LOW,57853014,LAUREN,LOW,EUR,59.6
2020-01-06,24791.58,123581321,MALLIK J,USD,LOW,93810450,ALOK,LOW,EUR,98.6
2020-01-06,78053.49,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,CHF,46.8
2020-01-06,2926.16,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,EUR,17
2020-01-06,24917.65,123581321,MALLIK J,USD,LOW,37915221,MARK,LOW,EUR,51.2
2020-01-07,1174.53,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,LOW,EUR,41.3
2020-01-07,157157.92,123581321,MALLIK J,USD,LOW,37915221,MARK,LOW,EUR,22.1
2020-01-07,13594.81,123581321,MALLIK J,USD,LOW,37915221,MARK,MED,GBP,24.9
2020-01-07,10074.29,123581321,MALLIK J,USD,LOW,93810450,ALOK,HIGH,EUR,28.9
2020-01-07,6501.79,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,EUR,36.8
2020-01-07,70070.36,123581321,MALLIK J,USD,LOW,57853014,LAUREN,MED,EUR,56.2
2020-01-07,2633.54,123581321,MALLIK J,USD,LOW,37915221,MARK,MED,EUR,79
2020-01-07,5793.97,123581321,MALLIK J,USD,LOW,47660212,KEVIN,HIGH,EUR,6.1
2020-01-07,2393.8,123581321,MALLIK J,USD,LOW,57853014,LAUREN,LOW,EUR,30.3
2020-01-07,2237.45,123581321,MALLIK J,USD,LOW,93810450,ALOK,LOW,EUR,67.1
2020-01-07,7252.04,123581321,MALLIK J,USD,LOW,47660212,KEVIN,HIGH,EUR,52.6
2020-01-07,16000,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,AUD,94.1
2020-01-07,2916.43,123581321,MALLIK J,USD,LOW,48205754,SURESH,HIGH,GBP,60.7
2020-01-07,39141.62,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,EUR,10.4
2020-01-07,6011.01,123581321,MALLIK J,USD,LOW,47660212,KEVIN,HIGH,EUR,80.2
2020-01-07,56045,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,EUR,82.8
2020-01-07,1796.33,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,EUR,2.6
2020-01-07,1502.31,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,EUR,65.5
2020-01-07,5367.9,123581321,MALLIK J,USD,LOW,93810450,ALOK,LOW,EUR,73.7
2020-01-07,18636.84,123581321,MALLIK J,USD,LOW,48205754,SURESH,LOW,EUR,15.8
2020-01-07,65002.18,123581321,MALLIK J,USD,LOW,37915221,MARK,MED,EUR,53.7
2020-01-07,7861.77,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,EUR,69.9
2020-01-07,6275.16,123581321,MALLIK J,USD,LOW,37915221,MARK,LOW,INR,53.9
2020-01-07,6105.32,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,EUR,78.4
2020-01-07,8244.15,123581321,MALLIK J,USD,LOW,48205754,SURESH,MED,EUR,41.1
2020-01-07,2900.28,123581321,MALLIK J,USD,LOW,37915221,MARK,LOW,EUR,56.4
2020-01-07,573.03,123581321,MALLIK J,USD,LOW,47660212,KEVIN,MED,EUR,2.7
2020-01-07,821.11,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,MED,EUR,70.1
2020-01-07,1696.21,123581321,MALLIK J,USD,LOW,47660212,KEVIN,MED,EUR,32.7
2020-01-07,137.9,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,EUR,2.3
2020-01-08,3156.67,123581321,MALLIK J,USD,LOW,47660212,KEVIN,LOW,GBP,28.4
2020-01-08,61220.45,123581321,MALLIK J,USD,LOW,37915221,MARK,LOW,CAD,69.9
2020-01-08,17823.79,123581321,MALLIK J,USD,LOW,57853014,LAUREN,HIGH,EUR,53.9
2020-01-08,326411.82,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,GBP,77.1
2020-01-08,1092.83,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,GBP,23.9
2020-01-08,14018.14,123581321,MALLIK J,USD,LOW,57853014,LAUREN,LOW,EUR,26.8
2020-01-08,4271.53,123581321,MALLIK J,USD,LOW,48205754,SURESH,HIGH,EUR,53.6
2020-01-08,465.68,123581321,MALLIK J,USD,LOW,16922038,ADRIAN,HIGH,EUR,92.9
2020-01-08,48624.33,123581321,MALLIK J,USD,LOW,47660212,KEVIN,MED,EUR,12.1
2020-01-08,29687.82,123581321,MALLIK J,USD,LOW,37915221,MARK,HIGH,EUR,63.4
